Gene1	Gene2
FYN	SOX10
FYN	SPI1
FYN	SRA1
FYN	SRC
FYN	SSX2
FYN	SYK
FYN	TCEAL6
FYN	TERF2IP
FYN	THY1
FYN	TNFRSF1A
FYN	TNK2
FYN	TOM1L1
FYN	TRAT1
FYN	TRPC6
FYN	TRPV4
FYN	TSC22D3
FYN	TUBA3C
FYN	TYK2
FYN	UBC
FYN	UBE2L3
FYN	UHRF2
FYN	UNC119
FYN	VAV1
FYN	WAS
FYN	WASL
FYN	WDR45L
FYN	XRCC4
FYN	YES1
FYN	YTHDC1
FYN	ZAP70
FYN	ZHX3
FYN	ZNF511
FYN	ZRANB2
FYN	ZYX
FZD1	WNT3A
FZD1	WNT5A
FZD3	WG
FZD3	WNT4
FZD4	WNT5A
FZD5	HNF4A
FZD5	RAD21
FZD5	UBC
FZD5	WNT10B
FZD5	WNT5A
FZD5	WNT7A
FZD6	SFRP1
FZD7	UBQLN1
FZD7	WNT8A
FZD8	LRP5
FZD8	LRP6
FZD8	SUMO1
FZD8	WNT1
FZD8	WNT8A
FZD9	IRF1
FZD9	MDFI
FZD9	WNT2
FZR1	HSF2
FZR1	KIAA0174
FZR1	MAD2L2
FZR1	SETD8
FZR1	SKIL
FZR1	SKP2
FZR1	SMARCA4
FZR1	SMARCB1
FZR1	TPX2
G0S2	STAT3
G2E3	SIN3A
G2E3	WDR6
G2E3	ZNF274
G3BP1	GIGYF2
G3BP1	GNL2
G3BP1	HAT1
G3BP1	HDAC6
G3BP1	HIST2H2AA3
G3BP1	IFRD2
G3BP1	IRF1
G3BP1	IRF3
G3BP1	KRI1
G3BP1	MRPL45
G3BP1	MYC
G3BP1	NFYA
G3BP1	NFYB
G3BP1	NOL6
G3BP1	NUFIP2
G3BP1	NUP188
G3BP1	NUP214
G3BP1	NUP62
G3BP1	PBX3
G3BP1	PDPK1
G3BP1	PIN1
G3BP1	PRKAA1
G3BP1	PUF60
G3BP1	RASA1
G3BP1	RPAP2
G3BP1	RPS6KA2
G3BP1	SP1
G3BP1	SP2
G3BP1	STK16
G3BP1	TP53
G3BP1	UBC
G3BP1	UIMC1
G3BP1	ULK1
G3BP1	USP10
G3BP1	UTP18
G3BP1	WDR36
G3BP1	YES1
G3BP1	YTHDF1
G3BP2	GNL2
G3BP2	ING4
G3BP2	MDM2
G3BP2	NFKBIA
G3BP2	NUFIP2
G3BP2	NUP214
G3BP2	NUP62
G3BP2	PIN1
G3BP2	PTEN
G3BP2	RNH1
G3BP2	RPF2
G3BP2	RPL22L1
G3BP2	RPL3L
G3BP2	STK24
G3BP2	TERF2
G3BP2	TP53
G3BP2	UBAP2
G3BP2	UBC
G3BP2	UIMC1
G3BP2	USP10
G3BP2	WDR36
G6PC2	GALM
G6PC2	GANC
G6PC2	GBA
G6PC2	GLB1
G6PC2	GPI
G6PC2	HK1
G6PC2	HK2
G6PC2	HK3
G6PC2	LCT
G6PC2	PGM1
G6PC2	SI
G6PC3	MAX
G6PC3	MYC
G6PC3	NFE2
G6PC3	USF1
G6PC3	USF2
G6PC	G6PC2
G6PC	GALM
G6PC	GANC
G6PC	GBA
G6PC	GLB1
G6PC	GPI
G6PC	HK1
G6PC	HK2
G6PC	HK3
G6PC	HNF4A
G6PC	JUND
G6PC	LCT
G6PC	PGM1
G6PC	RXRA
G6PC	SI
G6PC	SP1
G6PD	GPI
G6PD	GSR
G6PD	H6PD
G6PD	HSD17B12
G6PD	HSPB1
G6PD	NADK
G6PD	NNT
G6PD	PECR
G6PD	PGLS
G6PD	TECR
G6PD	UBC
GAA	USF1
GAA	USF2
GAB1	GRAP2
GAB1	GRB2
GAB1	MAP3K3
GAB1	MET
GAB1	PIK3R1
GAB1	PLCG1
GAB1	PTPN11
GAB1	ROCK1
GAB2	GRAP
GAB2	GRB2
GAB2	LAT
GAB2	LYN
GAB2	MET
GAB2	NCK1
GAB2	PIK3R1
GAB2	PLCG1
GAB2	PLCG2
GAB2	PTPN11
GAB2	PTPN6
GAB2	SHC1
GAB2	SRC
GAB2	ZAP70
GAB3	GRB2
GAB3	LYN
GAB3	PTPN11
GAB3	SRC
GABARAP	GABARAPL1
GABARAP	GABARAPL2
GABARAP	GABRG2
GABARAP	GBAS
GABARAP	HDAC5
GABARAP	IPO5
GABARAP	KEAP1
GABARAPL1	GABARAPL2
GABARAPL1	GBAS
GABARAPL1	GYS1
GABARAPL1	HADHA
GABARAPL1	HADHB
GABARAPL1	IPO5
GABARAPL1	KBTBD6
GABARAPL1	KBTBD7
GABARAPL1	KEAP1
GABARAPL1	LLGL1
GABARAPL1	NEDD4
GABARAPL1	NEK9
GABARAPL1	NIPSNAP1
GABARAPL1	NSMAF
GABARAPL1	PIK3CG
GABARAPL1	PRKAR1A
GABARAPL1	PRKCI
GABARAPL1	RABGAP1
GABARAPL1	SNCA
GABARAPL1	SQSTM1
GABARAPL1	STBD1
GABARAPL1	TBC1D2B
GABARAPL1	TMEM160
GABARAPL1	VDR
GABARAPL1	WDR11
GABARAPL2	GBAS
GABARAPL2	HADHA
GABARAPL2	HADHB
GABARAPL2	HBG1
GABARAPL2	IPO5
GABARAPL2	IRGQ
GABARAPL2	KEAP1
GABARAPL2	LRPPRC
GABARAPL2	MAP1LC3C
GABARAPL2	MLX
GABARAPL2	NBR1
GABARAPL2	NEDD4
GABARAPL2	NEK9
GABARAPL2	NIPSNAP1
GABARAPL2	PRKCI
GABARAPL2	PTPLAD1
GABARAPL2	RAP1A
GABARAPL2	RAP2A
GABARAPL2	RCN2
GABARAPL2	SQSTM1
GABARAPL2	STBD1
GABARAPL2	TBC1D5
GABARAPL2	TMEM160
GABARAPL2	TTBK1
GABARAPL2	UBA5
GABARAPL2	ULK1
GABARAPL2	VDAC1
GABARAPL2	VDR
GABARAPL2	WDR62
GABARAP	MAP1LC3B
GABARAP	MAP1LC3C
GABARAP	NBR1
GABARAP	NCOA7
GABARAP	NEDD4
GABARAP	NFE2
GABARAP	PI4K2A
GABARAP	SIN3A
GABARAP	SQSTM1
GABARAP	STBD1
GABARAP	TBC1D15
GABARAP	TECPR2
GABARAP	TFRC
GABARAP	TUBB3
GABARAP	ULK1
GABARAP	USF1
GABARAP	USF2
GABBR1	GABBR2
GABBR1	JAKMIP1
GABBR1	UBC
GABBR2	SH3GL3
GABPA	GALK2
GABPA	GATAD1
GABPA	GCN1L1
GABPA	GEMIN7
GABPA	GFM2
GABPA	GIN1
GABPA	GOLGA1
GABPA	GOLGA3
GABPA	GPR172A
GABPA	GPS2
GABPA	GRPEL2
GABPA	GSTCD
GABPA	GTF2H3
GABPA	GTF3C3
GABPA	GTPBP5
GABPA	GUSBP1
GABPA	HCFC1
GABPA	HDAC1
GABPA	HELQ
GABPA	HEMK1
GABPA	HIRA
GABPA	HMGXB3
GABPA	HNRNPA1L2
GABPA	ICT1
GABPA	IDH3B
GABPA	IFT20
GABPA	IGHMBP2
GABPA	IMPACT
GABPA	ING4
GABPA	INO80B
GABPA	INTS1
GABPA	INTS12
GABPA	IPO4
GABPA	IPPK
GABPA	ISY1
GABPA	JMJD4
GABPA	JMJD8
GABPA	JRK
GABPA	KBTBD4
GABPA	KCTD10
GABPA	KCTD5
GABPA	KDM5A
GABPA	KEAP1
GABPA	KIAA0317
GABPA	KIAA0907
GABPA	KIAA1908
GABPA	KIAA1967
GABPA	KIF22
GABPA	KLHL20
GABPA	KRR1
GABPA	LAS1L
GABPA	LMAN2
GABPA	LOC100130581
GABPA	LOC100272217
GABPA	LOC402377
GABPA	LOC647979
GABPA	LOC652276
GABPA	LRRC29
GABPA	LRRC49
GABPA	LSM5
GABPA	LYPLA2
GABPA	LZIC
GABPA	MAN2C1
GABPA	MANBAL
GABPA	MAPK8IP3
GABPA	MAPKAP1
GABPA	MBTPS2
GABPA	MCRS1
GABPA	MDH2
GABPA	MED1
GABPA	MED10
GABPA	MED15
GABPA	MED18
GABPA	MED23
GABPA	MED8
GABPA	METTL6
GABPA	METTL9
GABPA	MFAP3
GABPA	MOCS3
GABPA	MORN1
GABPA	MRPL16
GABPA	MRPL20
GABPA	MRPL21
GABPA	MRPL24
GABPA	MRPL27
GABPA	MRPL28
GABPA	MRPL3
GABPA	MRPL40
GABPA	MRPL43
GABPA	MRPL44
GABPA	MRPL53
GABPA	MRPS18C
GABPA	MRPS23
GABPA	MRPS31
GABPA	MRPS34
GABPA	MTERFD2
GABPA	MTIF2
GABPA	MTMR9
GABPA	MTOR
GABPA	MTRF1
GABPA	MUL1
GABPA	NAA20
GABPA	NBPF1
GABPA	NCRNA00183
GABPA	NDOR1
GABPA	NDUFA13
GABPA	NDUFB7
GABPA	NDUFB9
GABPA	NDUFS3
GABPA	NFKBIL1
GABPA	NFS1
GABPA	NGB
GABPA	NGRN
GABPA	NIF3L1
GABPA	NIPBL
GABPA	NME1
GABPA	NME1-NME2
GABPA	NME7
GABPA	NMNAT1
GABPA	NOC3L
GABPA	NOL12
GABPA	NOM1
GABPA	NOSIP
GABPA	NOXA1
GABPA	NR1H2
GABPA	NR1H3
GABPA	NR2C2
GABPA	NSA2
GABPA	NUBP2
GABPA	NUDCD3
GABPA	NUDT1
GABPA	NUF2
GABPA	NUP107
GABPA	NUP214
GABPA	OGFOD2
GABPA	OTUD7B
GABPA	OVCA2
GABPA	PAFAH1B2
GABPA	PCID2
GABPA	PCYT1A
GABPA	PDCD11
GABPA	PDCD2
GABPA	PDCD6
GABPA	PHB2
GABPA	PIGG
GABPA	PL-5283
GABPA	PMF1
GABPA	POLDIP2
GABPA	POLL
GABPA	PPAN
GABPA	PPAN-P2RY11
GABPA	PPIL1
GABPA	PPIL2
GABPA	PPIL3
GABPA	PPP1R11
GABPA	PPP1R15B
GABPA	PRKAB1
GABPA	PRPF6
GABPA	PRRG2
GABPA	PSCA
GABPA	PSMA6
GABPA	PSMB7
GABPA	PSMC2
GABPA	PSMD11
GABPA	PSMF1
GABPA	PSMG3
GABPA	RAB11A
GABPA	RAB40C
GABPA	RARS
GABPA	RBM28
GABPA	RDBP
GABPA	RER1
GABPA	REXO4
GABPA	RFC2
GABPA	RFXANK
GABPA	RG9MTD1
GABPA	RHOT2
GABPA	RIOK1
GABPA	RNF160
GABPA	RNF185
GABPA	RNU6ATAC
GABPA	ROCK1P1
GABPA	ROMO1
GABPA	RPF1
GABPA	RPF2
GABPA	RPL18A
GABPA	RPL18AP3
GABPA	RPL29
GABPA	RPL37
GABPA	RPS18
GABPA	RPS20
GABPA	RPS21
GABPA	RPS25
GABPA	RPS6
GABPA	RPS6KA2
GABPA	RPS6KC1
GABPA	RPS7
GABPA	RRP15
GABPA	RRS1
GABPA	RSL24D1
GABPA	RTEL1
GABPA	RUVBL1
GABPA	SAR1B
GABPA	SART1
GABPA	SCAND1
GABPA	SCML1
GABPA	SCO1
GABPA	SDAD1
GABPA	SDHAF2
GABPA	SEC11A
GABPA	SEC13
GABPA	SEC22B
GABPA	SEC24C
GABPA	SECISBP2
GABPA	SENP1
GABPA	SERP1
GABPA	SF3A3
GABPA	SF3B14
GABPA	SF3B2
GABPA	SFRS8
GABPA	SHARPIN
GABPA	SIRT6
GABPA	SLC33A1
GABPA	SLC35C2
GABPA	SLC39A13
GABPA	SMUG1
GABPA	SNORD54
GABPA	SNRNP200
GABPA	SNRNP27
GABPA	SNRPB
GABPA	SNRPE
GABPA	SP1
GABPA	SP2
GABPA	SP3
GABPA	SPAG8
GABPA	SPATA2
GABPA	SPSB3
GABPA	SRBD1
GABPA	SRP19
GABPA	SSBP1
GABPA	SSR2
GABPA	SSSCA1
GABPA	STOML2
GABPA	STX16
GABPA	STX4
GABPA	STYXL1
GABPA	SUPT4H1
GABPA	TACO1
GABPA	TAF12
GABPA	TAF1C
GABPA	TATDN1
GABPA	TBP
GABPA	THAP10
GABPA	THOC5
GABPA	THSD1P1
GABPA	TIGD1
GABPA	TIGD6
GABPA	TMCO1
GABPA	TMEM101
GABPA	TMEM199
GABPA	TMEM203
GABPA	TMEM208
GABPA	TMEM216
GABPA	TMEM222
GABPA	TMEM69
GABPA	TMEM85
GABPA	TNFAIP1
GABPA	TNPO3
GABPA	TNRC6A
GABPA	TOMM22
GABPA	TOP3B
GABPA	TPI1P2
GABPA	TPM3
GABPA	TPRKB
GABPA	TRAPPC10
GABPA	TRAPPC4
GABPA	TRIM41
GABPA	TRIP13
GABPA	TRIP4
GABPA	TRMT112
GABPA	TRMU
GABPA	TRUB2
GABPA	TTC14
GABPA	TTC4
GABPA	TTF1
GABPA	TUFM
GABPA	TUT1
GABPA	UBAC1
GABPA	UBE2G2
GABPA	UBE3B
GABPA	UBE4A
GABPA	UBL5
GABPA	UBL7
GABPA	UNC50
GABPA	UQCC
GABPA	USMG5
GABPA	USP30
GABPA	USPL1
GABPA	UTP11L
GABPA	UTP23
GABPA	VPS16
GABPA	VPS25
GABPA	VPS52
GABPA	WARS
GABPA	WDR11
GABPA	WDR24
GABPA	WDR25
GABPA	WDR36
GABPA	WDR37
GABPA	WDR65
GABPA	WDR83
GABPA	WDR85
GABPA	YIPF2
GABPA	YKT6
GABPA	YRDC
GABPA	ZBTB26
GABPA	ZBTB43
GABPA	ZBTB45
GABPA	ZBTB6
GABPA	ZC3H10
GABPA	ZC3HC1
GABPA	ZDHHC4
GABPA	ZKSCAN4
GABPA	ZMPSTE24
GABPA	ZNF165
GABPA	ZNF193
GABPA	ZNF205
GABPA	ZNF276
GABPA	ZNF3
GABPA	ZNF35
GABPA	ZNF384
GABPA	ZNF394
GABPA	ZNF408
GABPA	ZNF410
GABPA	ZNF461
GABPA	ZNF485
GABPA	ZNF498
GABPA	ZNF549
GABPA	ZNF622
GABPA	ZNF646
GABPA	ZNF668
GABPA	ZNF696
GABPA	ZNF740
GABPA	ZNF773
GABPA	ZNF837
GABPA	ZNF846
GABPA	ZNHIT2
GABPA	ZPBP
GABPA	ZSCAN12
GABPA	ZSCAN22
GABPA	ZSWIM3
GABPB1	LMO3
GABPB1	MAGEB18
GABPB1	MAX
GABPB1	MYC
GABPB1	TAF1
GABPB1	TDRD7
GABPB1	USO1
GABPB2	GTF2B
GABRA1	PRKCD
GABRA1	PRKCG
GABRA1	REST
GABRA4	PRKCG
GABRA5	RAD21
GABRB2	TRAK2
GABRB2	UBC
GABRB3	PRKACA
GABRB3	PRKCA
GABRB3	REST
GABRB3	UBC
GABRD	REST
GABRD	UBQLN1
GABRG2	REST
GAD1	GAD2
GAD1	GGT7
GAD1	GOT1
GAD1	GOT2
GAD1	HAAO
GAD1	PRKACA
GAD1	PRKCE
GAD1	RAD21
GAD1	SULT1B1
GAD1	SULT1C2
GAD1	SULT4A1
GAD1	UPB1
GAD2	GGT7
GAD2	GOT1
GAD2	GOT2
GAD2	PRKACA
GAD2	PRKCE
GAD2	SULT1B1
GAD2	SULT1C2
GAD2	SULT4A1
GAD2	SUZ12
GAD2	UPB1
GADD45A	GADD45B
GADD45A	GADD45G
GADD45A	GADD45GIP1
GADD45A	GATA2
GADD45A	GTF2F1
GADD45A	JAK2
GADD45A	LATS1
GADD45A	LYK5
GADD45A	MAP3K13
GADD45A	MAP3K4
GADD45A	MAP3K7IP1
GADD45A	MAPK1
GADD45A	MAPK6
GADD45A	MAST1
GADD45A	MATK
GADD45A	PACSIN1
GADD45A	PAK4
GADD45A	PBK
GADD45A	PCNA
GADD45A	PCTK3
GADD45A	PIM2
GADD45A	RARA
GADD45A	RXRA
GADD45A	SRPK1
GADD45A	STK32A
GADD45A	SYK
GADD45A	TAF1
GADD45A	TP53RK
GADD45B	GADD45GIP1
GADD45B	GTF2B
GADD45B	MAP2K7
GADD45B	MAP3K4
GADD45B	MAP3K5
GADD45B	NFKB1
GADD45B	POU2F2
GADD45B	TAF1
GADD45B	TBP
GADD45G	GADD45GIP1
GADD45G	HAP1
GADD45G	HTT
GADD45G	IKBKG
GADD45GIP1	ICT1
GADD45GIP1	IKBKG
GADD45GIP1	NR4A1
GADD45GIP1	YY1
GADD45G	MAP3K4
GADD45G	MED31
GADD45G	PCNA
GADD45G	PPARA
GADD45G	PPARD
GADD45G	PPARG
GADD45G	RAD21
GADD45G	RARA
GADD45G	RWDD2B
GADD45G	RXRA
GADD45G	TSNAX
GAGE2E	GMCL1L
GAGE5	GMCL1L
GAK	GPBP1L1
GAK	HAGH
GAK	HAT1
GAK	HCLS1
GAK	HDAC8
GAK	HHLA2
GAK	HNRPK
GAK	KCNIP2
GAK	KCNIP4
GAK	KHDRBS1
GAK	KHDRBS2
GAK	KHDRBS3
GAK	LIG1
GAK	LOC51035
GAK	LRRFIP1
GAK	MAGEB6
GAK	MEF2B
GAK	MTA1
GAK	NCBP2
GAK	NFATC4
GAK	NIPBL
GAK	NOC2L
GAK	NUP133
GAK	NUP35
GAK	OTUD7B
GAK	PAGE4
GAK	PDCD5
GAK	PITX1
GAK	PLK1
GAK	POLD4
GAK	POP7
GAK	POU6F1
GAK	PPIE
GAK	PPP1R13L
GAK	PQBP1
GAK	PRDX1
GAK	PRKAG3
GAK	PRKAR1A
GAK	PSMC3
GAK	R3HDM2
GAK	RAB6IP1
GAK	RAP1A
GAK	RBM17
GAK	RCOR3
GAK	RUNX1T1
GAK	RUVBL2
GAK	SARS
GAK	SF1
GAK	SNUPN
GAK	SOX10
GAK	SRXN1
GAK	SSX2
GAK	SSX3
GAK	SUPT4H1
GAK	TFDP1
GAK	TIMM44
GAK	TOX
GAK	TRIM26
GAK	TRIP10
GAK	TSC22D4
GAK	UBE2I
GAK	USO1
GAK	XPA
GAK	XRCC1
GAK	XRCC4
GAK	ZBTB4
GAK	ZCCHC8
GAK	ZHX1
GAK	ZMYM3
GAK	ZMYM5
GAK	ZNF187
GAK	ZNF313
GAK	ZNF428
GAK	ZNF434
GAK	ZNRF1
GAK	ZYX
GAL3ST1	GLA
GAL3ST1	NEU1
GAL3ST1	NEU2
GAL3ST1	NEU3
GAL3ST1	NEU4
GAL3ST1	UGT8
GAL3ST4	XRCC6
GALC	GATA1
GALK1	GALK2
GALK1	GALT
GALK1	GLA
GALK1	GLB1
GALK1	LCT
GALK1	OTUD4
GALK2	GALT
GALK2	GLA
GALK2	GLB1
GALK2	LCT
GALK2	MAX
GALK2	MYC
GALM	GANC
GALM	GBA
GALM	GLB1
GALM	H6PD
GALM	HK1
GALM	HK2
GALM	HK3
GALM	JAG1
GALM	LCT
GALM	NOTCH2
GALM	POFUT1
GALM	SI
GALM	SIX5
GALNS	MAX
GALNS	NEU1
GALNS	NFE2
GALNS	SREBF1
GALNS	USF1
GALNS	USF2
GALNT12	MUC1
GALNT12	MUC5AC
GALNT14	MUC13
GALNT14	MUC2
GALNT14	MUC5AC
GALNT14	MUC7
GALNT4	MUC1
GALNT5	JUN
GALNT5	TAL1
GALR1	MYC
GALT	GYS1
GALT	GYS2
GALT	LALBA
GALT	MAX
GALT	PGM1
GALT	PYGB
GALT	PYGL
GALT	PYGM
GALT	TRIP13
GALT	UGDH
GALT	USF1
GAMT	GATM
GAMT	ZBTB7A
GAMT	ZNF263
GANAB	GBAS
GANAB	H2AFX
GANAB	HDAC5
GANAB	MYC
GANAB	PRKAG2
GANAB	PTPRC
GANAB	TERF1
GANAB	TERF2
GANAB	TRAF6
GANAB	UBA5
GANC	GLA
GANC	HK1
GANC	HK2
GANC	HK3
GANC	KHK
GANC	SORD
GAN	MAP1B
GAN	RBX1
GAN	SFN
GAN	UBC
GAP43	PLCD1
GAP43	RABEP1
GAPDH	GAS7
GAPDH	HBXIP
GAPDH	HNF4G
GAPDH	HTT
GAPDH	JUND
GAPDH	LAMA4
GAPDH	NEK10
GAPDH	NPAT
GAPDH	NR1H4
GAPDH	PAFAH1B3
GAPDH	PCDHA4
GAPDH	PDIA2
GAPDH	PGAM1
GAPDH	PGAM2
GAPDH	PGAM4
GAPDH	PGK1
GAPDH	PGK2
GAPDH	PLD2
GAPDH	POU2F1
GAPDH	POU2F2
GAPDH	POU5F1
GAPDH	PPP2R2A
GAPDH	PRDX1
GAPDH	PRKCI
GAPDH	PRKG1
GAPDH	PRPF40A
GAPDH	PSMD11
GAPDH	PTK2
GAPDH	PTK2B
GAPDH	QRICH2
GAPDH	RPA2
GAPDH	SERPINB9
GAPDH	SET
GAPDHS	GNA12
GAPDH	SIN3A
GAPDH	SIRT1
GAPDHS	MAD2L1
GAPDH	SMARCA4
GAPDH	SMARCB1
GAPDHS	NDUFA11
GAPDHS	NTHL1
GAPDHS	OSR2
GAPDHS	PPP2R1B
GAPDHS	RAGE
GAPDHS	SFMBT1
GAPDH	STIP1
GAPDHS	TRIM22
GAPDH	TALDO1
GAPDH	TK1
GAPDH	TKTL1
GAPDH	TKTL2
GAPDH	TPI1
GAPDH	TTK
GAPDH	TXN
GAPDH	UBC
GAPDH	USP25
GAPDH	YWHAQ
GAPT	MYC
GAPVD1	PAX5
GAPVD1	YWHAB
GAR1	GEMIN4
GAR1	SIP1
GAR1	SMN1
GAR1	SNRPN
GAR1	TERC
GAR1	USP10
GAR1	USP39
GARS	GCAT
GARS	GNMT
GARS	IARS
GARS	MYC
GARS	PIPOX
GARS	SARDH
GARS	SHMT1
GARS	SHMT2
GART	GGH
GART	MTFMT
GART	MTHFD1
GART	MTHFD1L
GART	MTHFD2
GART	MTHFS
GART	MTR
GART	MYC
GART	NFYB
GART	PAICS
GART	PFAS
GART	PPAT
GART	RFX5
GART	SHMT1
GART	SHMT2
GART	UBC
GART	YY1
GART	ZNF263
GAS1	SHH
GAS2L3	JUN
GAS5	GTF2B
GAS5	JUND
GAS5	MYC
GAS5	SMARCA4
GAS5	SMARCB1
GAS5	TAF1
GAS5	TAF7
GAS5	TBP
GAS5	USF1
GAS6	MERTK
GAS6	TYRO3
GAS7	HNRNPU
GAS7	KHDRBS1
GAS7	MAP3K8
GAS7	NCKAP1
GAS7	NCKAP1L
GAS7	NEK3
GAS7	NPR2
GAS7	PACSIN1
GAS7	PIM3
GAS7	PRKACA
GAS7	PRKACB
GAS7	PRKCZ
GAS7	RPLP0
GAS7	RPS6KA2
GAS7	RPS6KA4
GAS7	RPS6KB1
GAS7	SF1
GAS7	SF3A1
GAS7	SFPQ
GAS7	TBK1
GAS7	TNNI3K
GAS7	TSSK6
GAS7	TTK
GAS7	WAS
GAS7	WASF2
GAS7	YES1
GAS8	TP63
GAS8	TP73
GAS8	ZBTB33
GAS8	ZEB1
GAST	MEP1B
GATA1	GCDH
GATA1	GCNT2
GATA1	GLB1
GATA1	GLRX5
GATA1	GNAZ
GATA1	GNB1L
GATA1	GP1BB
GATA1	GSTA4
GATA1	GSTO1
GATA1	GTPBP1
GATA1	GYPA
GATA1	GYPB
GATA1	GYPC
GATA1	GYPE
GATA1	H2AFX
GATA1	HBB
GATA1	HBBP1
GATA1	HBD
GATA1	HDAC1
GATA1	HDAC3
GATA1	HDAC4
GATA1	HDAC5
GATA1	HEMGN
GATA1	HERC1
GATA1	HINT1
GATA1	HIST1H1B
GATA1	HIST1H2AB
GATA1	HIST1H2AD
GATA1	HIST1H2AK
GATA1	HIST1H2AL
GATA1	HIST1H2AM
GATA1	HIST1H2BF
GATA1	HIST1H2BN
GATA1	HIST1H2BO
GATA1	HIST1H3B
GATA1	HIST1H3D
GATA1	HIST1H3I
GATA1	HIST1H3J
GATA1	HIST1H4B
GATA1	HIST1H4D
GATA1	HIST1H4E
GATA1	HIST1H4H
GATA1	HIST1H4I
GATA1	HIST1H4K
GATA1	HIST1H4L
GATA1	HK1
GATA1	HLTF
GATA1	HMBS
GATA1	HSPB1
GATA1	ICAM4
GATA1	IKZF1
GATA1	IRF2BP2
GATA1	JUNB
GATA1	KEL
GATA1	KIAA0182
GATA1	KLF1
GATA1	KLF3
GATA1	LAMC3
GATA1	LBR
GATA1	LCOR
GATA1	LGALS3
GATA1	LMO2
GATA1	LOC100130581
GATA1	LOC100233209
GATA1	LOC100271836
GATA1	LOC643008
GATA1	LSMD1
GATA1	LYL1
GATA1	MAD2L1BP
GATA1	MALAT1
GATA1	MAN2A2
GATA1	MAP1LC3B2
GATA1	MED1
GATA1	MED14
GATA1	MED17
GATA1	MFSD2B
GATA1	MINPP1
GATA1	MOBKL1A
GATA1	MST1
GATA1	MST1P2
GATA1	MTHFR
GATA1	MYNN
GATA1	NAPEPLD
GATA1	NBAS
GATA1	NCRNA00263
GATA1	NDFIP1
GATA1	NEAT1
GATA1	NFE2
GATA1	NFE2L2
GATA1	NFIA
GATA1	NME1
GATA1	NPL
GATA1	NUP214
GATA1	P2RX6
GATA1	PAK4
GATA1	PDZK1IP1
GATA1	PI4KA
GATA1	PKLR
GATA1	PLEKHA4
GATA1	PPM1F
GATA1	PPOX
GATA1	PPP1R15A
GATA1	PRKAB1
GATA1	PRR5
GATA1	QRFP
GATA1	RAB36
GATA1	RAD23A
GATA1	RAI1
GATA1	RCL1
GATA1	RFESD
GATA1	RFT1
GATA1	RHAG
GATA1	RHBDD1
GATA1	ROCK1P1
GATA1	RSAD2
GATA1	RTDR1
GATA1	SAMD4A
GATA1	SCARNA13
GATA1	SDF2L1
GATA1	SEC22B
GATA1	SEPT5
GATA1	SFRS1
GATA1	SKI
GATA1	SLC11A2
GATA1	SLC14A1
GATA1	SLC25A21
GATA1	SLC25A37
GATA1	SLC2A1
GATA1	SLC30A6
GATA1	SLC39A8
GATA1	SLC40A1
GATA1	SLC4A1
GATA1	SLC6A9
GATA1	SMARCA4
GATA1	SMARCB1
GATA1	SMARCC1
GATA1	SMARCC2
GATA1	SMARCD1
GATA1	SMARCE1
GATA1	SNAP29
GATA1	SNHG10
GATA1	SP1
GATA1	SPTA1
GATA1	STK11
GATA1	STOM
GATA1	TAF7
GATA1	TAL1
GATA1	TAX1BP3
GATA1	TFR2
GATA1	TFRC
GATA1	TGIF1
GATA1	TIMM10
GATA1	TMBIM1
GATA1	TMEM56
GATA1	TOP3B
GATA1	TOPORS
GATA1	TRIM10
GATA1	TRIM15
GATA1	TRIM25
GATA1	TRIM29
GATA1	TRIM5
GATA1	TSPO2
GATA1	TTC32
GATA1	UBC
GATA1	UCP3
GATA1	UROD
GATA1	USP15
GATA1	USP6NL
GATA1	XPO7
GATA1	YDJC
GATA1	YPEL4
GATA1	ZBTB16
GATA1	ZBTB22
GATA1	ZFPM1
GATA1	ZFPM2
GATA1	ZMYND8
GATA1	ZNF323
GATA1	ZNF451
GATA1	ZNF526
GATA1	ZZZ3
GATA2	GATA6
GATA2	GBA2
GATA2	GNAZ
GATA2	GNB1L
GATA2	GNG12
GATA2	GNS
GATA2	GP1BB
GATA2	GPR110
GATA2	GPRC5A
GATA2	GTPBP2
GATA2	GUCA1B
GATA2	GYPB
GATA2	GYPE
GATA2	H2AFX
GATA2	HDAC3
GATA2	HDAC5
GATA2	HDC
GATA2	HEBP2
GATA2	HEMGN
GATA2	HERC1
GATA2	HES1
GATA2	HHEX
GATA2	HIRA
GATA2	HIST1H2AD
GATA2	HIST1H2AG
GATA2	HIST1H2BF
GATA2	HIST1H2BJ
GATA2	HIST1H3D
GATA2	HIST1H4B
GATA2	HIST1H4D
GATA2	HIST1H4E
GATA2	HIST1H4I
GATA2	HIVEP1
GATA2	HK1
GATA2	HMBS
GATA2	HNRNPF
GATA2	HOOK3
GATA2	HOXA2
GATA2	HOXA3
GATA2	HSP90B3P
GATA2	HSPG2
GATA2	ICAM2
GATA2	IER3
GATA2	IGLL5
GATA2	IL13
GATA2	IL1RL1
GATA2	IL34
GATA2	IL8
GATA2	ING3
GATA2	IRF2BP2
GATA2	ITGA2
GATA2	ITGA2B
GATA2	JUN
GATA2	KAT2A
GATA2	KCNH2
GATA2	KCTD12
GATA2	KIAA1377
GATA2	KLF1
GATA2	KRT10
GATA2	KRT19
GATA2	KRT80
GATA2	LAMB1
GATA2	LAMC3
GATA2	LEKR1
GATA2	LIMS1
