Gene1	Gene2
ABI2	FES
ABI2	FGR
ABI2	FLJ25006
ABI2	GAK
ABI2	GRK5
ABI2	GSK3A
ABI2	GSK3B
ABI2	GTF2H1
ABI2	HIPK4
ABI2	IFT20
ABI2	IRAK3
ABI2	JAK2
ABI2	KRT15
ABI2	KRT19
ABI2	KRT20
ABI2	LATS1
ABI2	LCK
ABI2	LYK5
ABI2	MAP2K5
ABI2	MAP3K11
ABI2	MAP3K13
ABI2	MAP3K14
ABI2	MAP3K7
ABI2	MAP4K2
ABI2	MAPK1
ABI2	MAPK10
ABI2	MAPK7
ABI2	MAPK9
ABI2	MAPKAPK5
ABI2	MAST1
ABI2	MET
ABI2	MGC16169
ABI2	MOS
ABI2	NCK2
ABI2	NEK10
ABI2	NEK3
ABI2	NPR2
ABI2	NRBP1
ABI2	NRP1
ABI2	NRP2
ABI2	NUAK1
ABI2	PACSIN1
ABI2	PAK1
ABI2	PAK4
ABI2	PAK6
ABI2	PCM1
ABI2	PCTK3
ABI2	PDGFRA
ABI2	PDIK1L
ABI2	PDPK1
ABI2	PIK3C3
ABI2	PIM1
ABI2	PIM2
ABI2	PIM3
ABI2	PKN1
ABI2	PLK2
ABI2	PLK3
ABI2	PRKACA
ABI2	PRKACB
ABI2	PRKACG
ABI2	PRKCH
ABI2	PRKCI
ABI2	PRKCQ
ABI2	PRKCZ
ABI2	PRKD2
ABI2	PRKY
ABI2	PTK6
ABI2	RET
ABI2	RIOK1
ABI2	RPS1KL1
ABI2	RPS6KA2
ABI2	RPS6KA3
ABI2	RPS6KA4
ABI2	RPS6KA6
ABI2	RPS6KB1
ABI2	SCYL2
ABI2	SGK3
ABI2	SH3KBP1
ABI2	SKAP1
ABI2	SNAP23
ABI2	SRPK1
ABI2	SRPK2
ABI2	STK10
ABI2	STK16
ABI2	STK17A
ABI2	STK38
ABI2	STK38L
ABI2	STK4
ABI2	STK40
ABI2	STYK1
ABI2	SYK
ABI2	TAF1
ABI2	TBK1
ABI2	TBRG4
ABI2	TNIK
ABI2	TNK2
ABI2	TNNI3K
ABI2	TP53RK
ABI2	TRIM27
ABI2	TRIM32
ABI2	TSSK6
ABI2	TTK
ABI2	TYRO3
ABI2	UBC
ABI2	UHMK1
ABI2	VCL
ABI2	VRK3
ABI2	WEE1
ABI2	WIF1
ABI2	YES1
ABI2	ZAP70
ABI3	ABI3BP
ABI3BP	GRB2
ABI3BP	MYC
ABI3	CEP170L
ABI3	DTNBP1
ABI3	EBF1
ABI3	EIF3H
ABI3	HOMER1
ABI3	KIAA0408
ABI3	KIAA1712
ABI3	KRT15
ABI3	PAK1
ABI3	PAK2
ABI3	RUNX1T1
ABI3	SNAP23
ABI3	TMEM147
ABL1	ABL2
ABL1	ARHGAP17
ABL1	ATF3
ABL1	ATM
ABL1	ATR
ABL1	BCAR1
ABL1	BCL3
ABL1	BCR
ABL1	BDP1
ABL1	BRCA1
ABL1	BRF1
ABL1	BRF2
ABL1	CABLES2
ABL1	CAT
ABL1	CBL
ABL1	CREB1
ABL1	CRKL
ABL1	DOK1
ABL1	EP300
ABL1	EPHA3
ABL1	EPHB2
ABL1	EVL
ABL1	FOSL1
ABL1	GATA2
ABL1	GPX1
ABL1	GRB10
ABL1	GRB2
ABL1	GTF2F1
ABL1	HCK
ABL1	HDAC2
ABL1	HSP90AA1
ABL1	HSPA4
ABL1	INPPL1
ABL1	IRF1
ABL1	JAK1
ABL1	JUN
ABL1	MAFK
ABL1	MDM2
ABL1	MICAL1
ABL1	MTOR
ABL1	NCK1
ABL1	NCOA3
ABL1	NEDD9
ABL1	NFKBIA
ABL1	NR2C2
ABL1	NRF1
ABL1	NTRK1
ABL1	PAG1
ABL1	PAK2
ABL1	PARK2
ABL1	PIK3R1
ABL1	PLCG1
ABL1	PRKDC
ABL1	PSTPIP1
